id,country,crude_oil_prod
13,Saudi Arabia,"11,730,000"
3,United States,"11,110,000"
1,Russia,"10,440,000"
4,China,"4,155,000"
2,Canada,"3,856,000"
18,Iran,"3,594,000"
115,United Arab Emirates,"3,213,000"
59,Iraq,"2,987,000"
14,Mexico,"2,936,000"
158,Kuwait,"2,797,000"
5,Brazil,"2,652,000"
32,Nigeria,"2,524,000"
33,Venezuela,"2,489,000"
68,Norway,"1,902,000"
10,Algeria,"1,875,000"
23,Angola,"1,872,000"
27,European Union,"1,866,000"
9,Kazakhstan,"1,606,000"
166,Qatar,"1,579,000"
17,Libya,"1,483,000"
80,United Kingdom,"1,009,000"
7,India,"990,200"
15,Indonesia,"974,300"
26,Colombia,"969,100"
113,Azerbaijan,"931,900"
71,Oman,"923,800"
8,Argentina,"723,200"
30,Egypt,"720,000"
67,Malaysia,"642,700"
6,Australia,"519,100"
74,Ecuador,"504,500"
51,Thailand,"433,300"
66,Vietnam,"363,500"
146,Equatorial Guinea,"318,000"
64,"Congo, Republic of the","291,900"
53,Turkmenistan,"244,100"
77,Gabon,"242,000"
134,Denmark,"207,400"
89,Syria,"182,500"
25,South Africa,"181,000"
63,Germany,"169,500"
20,Peru,"160,400"
50,Yemen,"156,500"
173,Brunei,"141,000"
62,Japan,"135,500"
174,Trinidad and Tobago,"119,300"
72,Italy,"112,000"
21,Chad,"104,500"
57,Uzbekistan,"102,600"
83,Romania,"101,600"
42,South Sudan,"86,480"
46,Ukraine,"80,400"
82,Ghana,"79,630"
160,Timor-Leste,"79,490"
43,France,"72,300"
135,Netherlands,"71,720"
93,Tunisia,"68,310"
54,Cameroon,"63,520"
36,Pakistan,"61,660"
37,Turkey,"56,650"
28,Bolivia,"56,570"
106,Cuba,"50,800"
188,Bahrain,"49,160"
76,New Zealand,"48,190"
69,Cote d'Ivoire,"38,560"
86,Belarus,"32,070"
114,Austria,"29,480"
52,Spain,"29,290"
16,Sudan,"28,830"
110,Hungary,"27,990"
70,Poland,"27,680"
55,Papua New Guinea,"27,490"
73,Philippines,"25,240"
139,Taiwan,"21,680"
40,Burma,"20,830"
192,Singapore,"20,170"
127,Croatia,"20,070"
22,Niger,"20,000"
11,"Congo, Democratic Republic of the","20,000"
117,Serbia,"19,720"
38,Chile,"17,340"
145,Albania,"16,870"
92,Suriname,"15,270"
182,Virgin Islands,"14,880"
107,Guatemala,"14,020"
65,Finland,"13,530"
56,Sweden,"11,270"
133,Estonia,"11,000"
141,Belgium,"10,530"
116,Czech Republic,"10,010"
19,Mongolia,"9,935"
131,Slovakia,"9,277"
123,Lithuania,"9,111"
97,Greece,"7,497"
29,Mauritania,"6,577"
154,Israel,"5,839"
95,Bangladesh,"5,452"
111,Portugal,"5,250"
58,Morocco,"5,057"
136,Switzerland,"3,613"
105,Bulgaria,"3,384"
152,Belize,"3,239"
218,Aruba,"2,811"
168,Jamaica,"2,120"
60,Paraguay,"2,000"
41,Afghanistan,"1,950"
91,Uruguay,"1,183"
202,Barbados,"1,001"
87,Kyrgyzstan,"1,000"
124,Latvia,"1,000"
121,Georgia,980
120,Ireland,726
163,Puerto Rico,674
155,Slovenia,305
130,Costa Rica,291
96,Tajikistan,219
100,Malawi,200
39,Zambia,175
112,Jordan,165
61,Zimbabwe,120
27,Ethiopia,100
184,Hong Kong,100
132,Dominican Republic,61
150,Macedonia,41
157,Fiji,30
119,Sierra Leone,25
103,Honduras,20
35,Mozambique,20
31,Tanzania,10
149,Rwanda,10
171,Cyprus,8
90,Cambodia,1
44,Somalia,0
193,Saint Lucia,0
186,Turks and Caicos Islands,0
190,Tonga,0
126,Togo,0
185,Sao Tome and Principe,0
81,Uganda,0
75,Burkina Faso,0
204,Saint Vincent and the Grenadines,0
220,British Virgin Islands,0
34,Namibia,0
172,West Bank,0
78,Western Sahara,0
178,Samoa,0
159,Swaziland,0
201,Antigua and Barbuda,0
143,Armenia,0
216,American Samoa,0
48,Botswana,0
232,Bermuda,0
161,"Bahamas, The",0
129,Bosnia and Herzegovina,0
102,Benin,0
144,Solomon Islands,0
137,Bhutan,0
147,Burundi,0
122,Sri Lanka,0
211,Cayman Islands,0
180,Comoros,0
45,Central African Republic,0
176,Cabo Verde,0
215,Cook Islands,0
151,Djibouti,0
189,Dominica,0
101,Eritrea,0
153,El Salvador,0
165,Falkland Islands (Islas Malvinas),0
183,Faroe Islands,0
175,French Polynesia,0
167,"Gambia, The",0
243,Gibraltar,0
207,Grenada,0
12,Greenland,0
195,Guam,0
79,Guinea,0
85,Guyana,0
148,Haiti,0
108,Iceland,0
49,Kenya,0
99,"Korea, North",0
187,Kiribati,0
109,"Korea, South",0
84,Laos,0
170,Lebanon,0
104,Liberia,0
142,Lesotho,0
179,Luxembourg,0
47,Madagascar,0
237,Macau,0
140,Moldova,0
226,Montserrat,0
162,Montenegro,0
24,Mali,0
181,Mauritius,0
208,Malta,0
210,Maldives,0
156,New Caledonia,0
213,Niue,0
164,Vanuatu,0
94,Nepal,0
240,Nauru,0
98,Nicaragua,0
118,Panama,0
138,Guinea-Bissau,0
214,Saint Pierre and Miquelon,0
212,Saint Kitts and Nevis,0
199,Seychelles,0
88,Senegal,0
209,"Saint Helena, Ascension, and Tristan da Cunha",0
