id,country,current_acct_balance
63,Germany,"$257,100,000,000 "
4,China,"$176,600,000,000 "
13,Saudi Arabia,"$132,200,000,000 "
135,Netherlands,"$82,900,000,000 "
1,Russia,"$74,800,000,000 "
158,Kuwait,"$69,130,000,000 "
68,Norway,"$67,400,000,000 "
136,Switzerland,"$65,600,000,000 "
139,Taiwan,"$56,660,000,000 "
62,Japan,"$56,600,000,000 "
109,"Korea, South","$55,690,000,000 "
115,United Arab Emirates,"$52,670,000,000 "
192,Singapore,"$52,190,000,000 "
166,Qatar,"$47,560,000,000 "
56,Sweden,"$39,000,000,000 "
134,Denmark,"$19,600,000,000 "
237,Macau,"$17,010,000,000 "
67,Malaysia,"$16,670,000,000 "
32,Nigeria,"$16,160,000,000 "
113,Azerbaijan,"$13,280,000,000 "
59,Iraq,"$12,850,000,000 "
23,Angola,"$10,690,000,000 "
114,Austria,"$10,600,000,000 "
184,Hong Kong,"$10,220,000,000 "
66,Vietnam,"$8,162,000,000 "
73,Philippines,"$7,512,000,000 "
120,Ireland,"$7,300,000,000 "
71,Oman,"$7,249,000,000 "
10,Algeria,"$6,697,000,000 "
154,Israel,"$5,259,000,000 "
173,Brunei,"$3,977,000,000 "
95,Bangladesh,"$3,541,000,000 "
131,Slovakia,"$3,315,000,000 "
33,Venezuela,"$3,195,000,000 "
17,Libya,"$2,727,000,000 "
179,Luxembourg,"$2,700,000,000 "
160,Timor-Leste,"$2,375,000,000 "
28,Bolivia,"$2,138,000,000 "
52,Spain,"$2,100,000,000 "
97,Greece,"$2,021,000,000 "
155,Slovenia,"$1,977,000,000 "
9,Kazakhstan,"$1,965,000,000 "
188,Bahrain,"$1,907,000,000 "
57,Uzbekistan,"$1,801,000,000 "
77,Gabon,"$1,783,000,000 "
110,Hungary,"$1,722,000,000 "
60,Paraguay,"$1,376,000,000 "
48,Botswana,"$1,375,000,000 "
111,Portugal,"$1,000,000,000 "
64,"Congo, Republic of the","$638,200,000 "
174,Trinidad and Tobago,"$414,100,000 "
220,British Virgin Islands,"$362,600,000 "
