id,country,death_rate
25,South Africa,17.49
46,Ukraine,15.72
142,Lesotho,14.91
21,Chad,14.56
138,Guinea-Bissau,14.54
105,Bulgaria,14.3
41,Afghanistan,14.12
45,Central African Republic,14.11
44,Somalia,13.91
1,Russia,13.83
159,Swaziland,13.75
117,Serbia,13.71
133,Estonia,13.69
124,Latvia,13.6
34,Namibia,13.6
86,Belarus,13.51
48,Botswana,13.32
24,Mali,13.22
32,Nigeria,13.16
77,Gabon,13.13
39,Zambia,12.92
22,Niger,12.73
110,Hungary,12.72
140,Moldova,12.6
35,Mozambique,12.34
127,Croatia,12.13
75,Burkina Faso,11.96
83,Romania,11.88
23,Angola,11.67
123,Lithuania,11.55
63,Germany,11.29
155,Slovenia,11.25
119,Sierra Leone,11.03
97,Greece,11
81,Uganda,10.97
111,Portugal,10.97
121,Georgia,10.77
141,Belgium,10.76
61,Zimbabwe,10.62
65,Finland,10.51
54,Cameroon,10.4
114,Austria,10.38
70,Poland,10.37
11,"Congo, Democratic Republic of the",10.3
116,Czech Republic,10.29
134,Denmark,10.23
64,"Congo, Republic of the",10.17
27,European Union,10.13
72,Italy,10.1
194,Isle of Man,10.03
104,Liberia,9.9
131,Slovakia,9.7
79,Guinea,9.69
69,Cote d'Ivoire,9.67
129,Bosnia and Herzegovina,9.64
147,Burundi,9.54
91,Uruguay,9.48
56,Sweden,9.45
62,Japan,9.38
80,United Kingdom,9.34
162,Montenegro,9.3
143,Armenia,9.3
214,Saint Pierre and Miquelon,9.27
149,Rwanda,9.18
99,"Korea, North",9.18
43,France,9.06
150,Macedonia,9.04
250,Monaco,9.01
52,Spain,9
208,Malta,8.96
238,Tuvalu,8.9
100,Malawi,8.74
183,Faroe Islands,8.71
228,Guernsey,8.69
88,Senegal,8.65
135,Netherlands,8.57
179,Luxembourg,8.53
27,Ethiopia,8.52
163,Puerto Rico,8.51
78,Western Sahara,8.49
174,Trinidad and Tobago,8.48
42,South Sudan,8.42
202,Barbados,8.41
102,Benin,8.39
146,Equatorial Guinea,8.39
12,Greenland,8.38
29,Mauritania,8.35
243,Gibraltar,8.33
9,Kazakhstan,8.31
2,Canada,8.31
229,San Marino,8.31
182,Virgin Islands,8.24
31,Tanzania,8.2
68,Norway,8.19
3,United States,8.15
136,Switzerland,8.1
218,Aruba,8.09
232,Bermuda,8.06
207,Grenada,8.04
40,Burma,8.01
200,Curacao,8
189,Dominica,7.94
198,Palau,7.93
148,Haiti,7.91
16,Sudan,7.87
151,Djibouti,7.84
215,Cook Islands,7.8
90,Cambodia,7.78
180,Comoros,7.76
84,Laos,7.74
51,Thailand,7.72
101,Eritrea,7.65
106,Cuba,7.64
225,Jersey,7.63
185,Sao Tome and Principe,7.45
4,China,7.44
126,Togo,7.43
82,Ghana,7.37
7,India,7.35
8,Argentina,7.34
209,"Saint Helena, Ascension, and Tristan da Cunha",7.33
193,Saint Lucia,7.32
85,Guyana,7.3
76,New Zealand,7.3
167,"Gambia, The",7.26
187,Kiribati,7.18
108,Iceland,7.13
204,Saint Vincent and the Grenadines,7.12
113,Azerbaijan,7.09
212,Saint Kitts and Nevis,7.08
6,Australia,7.07
219,Liechtenstein,7.02
49,Kenya,7
161,"Bahamas, The",7
139,Taiwan,6.97
47,Madagascar,6.95
184,Hong Kong,6.93
199,Seychelles,6.9
181,Mauritius,6.85
196,Andorra,6.82
137,Bhutan,6.78
87,Kyrgyzstan,6.74
168,Jamaica,6.67
109,"Korea, South",6.63
94,Nepal,6.62
28,Bolivia,6.59
36,Pakistan,6.58
171,Cyprus,6.57
5,Brazil,6.54
55,Papua New Guinea,6.53
226,Montserrat,6.52
89,Syria,6.51
145,Albania,6.47
50,Yemen,6.45
120,Ireland,6.45
19,Mongolia,6.38
15,Indonesia,6.34
96,Tajikistan,6.28
160,Timor-Leste,6.18
176,Cabo Verde,6.17
53,Turkmenistan,6.16
92,Suriname,6.13
37,Turkey,6.12
122,Sri Lanka,6.06
157,Fiji,6
20,Peru,5.99
152,Belize,5.95
93,Tunisia,5.94
18,Iran,5.94
38,Chile,5.93
66,Vietnam,5.93
240,Nauru,5.9
201,Antigua and Barbuda,5.7
153,El Salvador,5.67
95,Bangladesh,5.64
154,Israel,5.54
156,New Caledonia,5.45
211,Cayman Islands,5.41
26,Colombia,5.36
178,Samoa,5.32
57,Uzbekistan,5.29
33,Venezuela,5.27
14,Mexico,5.24
103,Honduras,5.13
98,Nicaragua,5.07
74,Ecuador,5.04
195,Guam,5.04
67,Malaysia,5
221,Wallis and Futuna,4.95
170,Lebanon,4.95
175,French Polynesia,4.93
220,British Virgin Islands,4.93
73,Philippines,4.92
190,Tonga,4.86
107,Guatemala,4.82
58,Morocco,4.79
30,Egypt,4.77
118,Panama,4.77
216,American Samoa,4.68
60,Paraguay,4.64
59,Iraq,4.57
227,Anguilla,4.54
236,Sint Maarten,4.51
132,Dominican Republic,4.5
130,Costa Rica,4.49
10,Algeria,4.31
191,"Micronesia, Federated States of",4.25
217,Marshall Islands,4.24
164,Vanuatu,4.14
237,Macau,4.1
144,Solomon Islands,3.86
210,Maldives,3.84
112,Jordan,3.8
197,Northern Mariana Islands,3.61
17,Libya,3.57
172,West Bank,3.51
173,Brunei,3.47
192,Singapore,3.42
71,Oman,3.38
13,Saudi Arabia,3.32
206,Gaza Strip,3.09
186,Turks and Caicos Islands,3.08
188,Bahrain,2.67
158,Kuwait,2.16
115,United Arab Emirates,1.99
166,Qatar,1.53
