id,country,debt_external
27,European Union,"$15,950,000,000,000 "
3,United States,"$15,680,000,000,000 "
80,United Kingdom,"$9,457,000,000,000 "
63,Germany,"$5,717,000,000,000 "
43,France,"$5,371,000,000,000 "
62,Japan,"$3,017,000,000,000 "
179,Luxembourg,"$2,935,000,000,000 "
72,Italy,"$2,604,000,000,000 "
135,Netherlands,"$2,504,000,000,000 "
52,Spain,"$2,278,000,000,000 "
120,Ireland,"$2,164,000,000,000 "
136,Switzerland,"$1,544,000,000,000 "
6,Australia,"$1,506,000,000,000 "
141,Belgium,"$1,424,000,000,000 "
2,Canada,"$1,331,000,000,000 "
192,Singapore,"$1,174,000,000,000 "
184,Hong Kong,"$1,109,000,000,000 "
56,Sweden,"$1,039,000,000,000 "
114,Austria,"$812,000,000,000 "
4,China,"$784,800,000,000 "
68,Norway,"$720,600,000,000 "
1,Russia,"$714,200,000,000 "
65,Finland,"$586,900,000,000 "
134,Denmark,"$586,700,000,000 "
97,Greece,"$568,700,000,000 "
111,Portugal,"$508,300,000,000 "
5,Brazil,"$475,900,000,000 "
109,"Korea, South","$430,900,000,000 "
7,India,"$412,200,000,000 "
70,Poland,"$365,200,000,000 "
37,Turkey,"$359,500,000,000 "
14,Mexico,"$354,900,000,000 "
15,Indonesia,"$223,800,000,000 "
110,Hungary,"$170,300,000,000 "
115,United Arab Emirates,"$167,900,000,000 "
13,Saudi Arabia,"$149,400,000,000 "
166,Qatar,"$149,400,000,000 "
139,Taiwan,"$146,800,000,000 "
25,South Africa,"$139,000,000,000 "
46,Ukraine,"$138,300,000,000 "
9,Kazakhstan,"$131,300,000,000 "
83,Romania,"$130,400,000,000 "
38,Chile,"$119,000,000,000 "
8,Argentina,"$111,500,000,000 "
116,Czech Republic,"$103,200,000,000 "
108,Iceland,"$102,000,000,000 "
67,Malaysia,"$100,100,000,000 "
154,Israel,"$96,300,000,000 "
171,Cyprus,"$95,280,000,000 "
51,Thailand,"$86,100,000,000 "
26,Colombia,"$85,830,000,000 "
76,New Zealand,"$81,360,000,000 "
33,Venezuela,"$74,870,000,000 "
73,Philippines,"$72,810,000,000 "
131,Slovakia,"$68,440,000,000 "
66,Vietnam,"$68,380,000,000 "
127,Croatia,"$63,300,000,000 "
59,Iraq,"$59,490,000,000 "
163,Puerto Rico,"$56,820,000,000 "
155,Slovenia,"$53,900,000,000 "
36,Pakistan,"$52,430,000,000 "
20,Peru,"$50,150,000,000 "
30,Egypt,"$48,760,000,000 "
208,Malta,"$46,220,000,000 "
16,Sudan,"$40,920,000,000 "
124,Latvia,"$39,870,000,000 "
105,Bulgaria,"$37,850,000,000 "
58,Morocco,"$36,510,000,000 "
117,Serbia,"$35,110,000,000 "
158,Kuwait,"$34,410,000,000 "
95,Bangladesh,"$30,690,000,000 "
123,Lithuania,"$29,550,000,000 "
188,Bahrain,"$28,820,000,000 "
122,Sri Lanka,"$27,530,000,000 "
93,Tunisia,"$26,950,000,000 "
133,Estonia,"$26,740,000,000 "
170,Lebanon,"$26,740,000,000 "
106,Cuba,"$23,440,000,000 "
23,Angola,"$22,710,000,000 "
112,Jordan,"$22,040,000,000 "
74,Ecuador,"$19,910,000,000 "
132,Dominican Republic,"$18,010,000,000 "
107,Guatemala,"$17,670,000,000 "
91,Uruguay,"$17,610,000,000 "
161,"Bahamas, The","$17,560,000,000 "
32,Nigeria,"$15,730,000,000 "
18,Iran,"$15,640,000,000 "
118,Panama,"$15,220,000,000 "
130,Costa Rica,"$15,100,000,000 "
82,Ghana,"$14,680,000,000 "
153,El Salvador,"$14,440,000,000 "
31,Tanzania,"$13,820,000,000 "
168,Jamaica,"$13,820,000,000 "
55,Papua New Guinea,"$13,610,000,000 "
