id,country,education_expenditure
142,Lesotho,13
106,Cuba,12.8
217,Marshall Islands,12.2
187,Kiribati,12
48,Botswana,9.5
185,Sao Tome and Principe,9.5
160,Timor-Leste,9.4
134,Denmark,8.7
34,Namibia,8.4
140,Moldova,8.4
151,Djibouti,8.4
159,Swaziland,8.3
82,Ghana,8.1
108,Iceland,7.6
180,Comoros,7.6
76,New Zealand,7.4
198,Palau,7.3
144,Solomon Islands,7.3
171,Cyprus,7.3
56,Sweden,7
68,Norway,6.9
33,Venezuela,6.9
208,Malta,6.9
28,Bolivia,6.9
87,Kyrgyzstan,6.8
210,Maldives,6.8
65,Finland,6.8
49,Kenya,6.7
152,Belize,6.6
141,Belgium,6.6
120,Ireland,6.4
8,Argentina,6.3
66,Vietnam,6.3
130,Costa Rica,6.3
46,Ukraine,6.2
80,United Kingdom,6.2
31,Tanzania,6.2
93,Tunisia,6.2
64,"Congo, Republic of the",6.2
168,Jamaica,6.1
218,Aruba,6
25,South Africa,6
43,France,5.9
114,Austria,5.9
135,Netherlands,5.9
67,Malaysia,5.9
51,Thailand,5.8
178,Samoa,5.8
5,Brazil,5.8
147,Burundi,5.8
155,Slovenia,5.7
133,Estonia,5.7
88,Senegal,5.6
202,Barbados,5.6
111,Portugal,5.6
6,Australia,5.6
154,Israel,5.6
19,Mongolia,5.5
58,Morocco,5.4
100,Malawi,5.4
123,Lithuania,5.4
2,Canada,5.4
3,United States,5.4
102,Benin,5.3
70,Poland,5.2
136,Switzerland,5.2
50,Yemen,5.2
13,Saudi Arabia,5.1
204,Saint Vincent and the Grenadines,5.1
89,Syria,5.1
86,Belarus,5.1
14,Mexico,5.1
149,Rwanda,5.1
63,Germany,5.1
109,"Korea, South",5
176,Cabo Verde,5
124,Latvia,5
35,Mozambique,5
164,Vanuatu,5
52,Spain,5
110,Hungary,4.9
117,Serbia,4.8
24,Mali,4.8
60,Paraguay,4.8
27,Ethiopia,4.7
137,Bhutan,4.7
94,Nepal,4.7
98,Nicaragua,4.6
69,Cote d'Ivoire,4.6
38,Chile,4.5
126,Togo,4.5
91,Uruguay,4.5
72,Italy,4.5
74,Ecuador,4.4
26,Colombia,4.4
220,British Virgin Islands,4.4
10,Algeria,4.3
169,Kosovo,4.3
127,Croatia,4.3
71,Oman,4.3
22,Niger,4.2
157,Fiji,4.2
131,Slovakia,4.2
83,Romania,4.2
212,Saint Kitts and Nevis,4.2
116,Czech Republic,4.2
193,Saint Lucia,4.1
105,Bulgaria,4.1
167,"Gambia, The",4.1
1,Russia,4.1
97,Greece,4.1
207,Grenada,3.9
190,Tonga,3.9
96,Tajikistan,3.9
62,Japan,3.8
158,Kuwait,3.8
30,Egypt,3.8
179,Luxembourg,3.7
18,Iran,3.7
29,Mauritania,3.7
199,Seychelles,3.6
118,Panama,3.5
181,Mauritius,3.5
184,Hong Kong,3.5
189,Dominica,3.5
173,Brunei,3.5
23,Angola,3.5
75,Burkina Faso,3.4
153,El Salvador,3.4
145,Albania,3.3
81,Uganda,3.3
143,Armenia,3.3
54,Cameroon,3.2
7,India,3.2
174,Trinidad and Tobago,3.2
85,Guyana,3.2
215,Cook Islands,3.1
9,Kazakhstan,3.1
107,Guatemala,3
192,Singapore,3
119,Sierra Leone,2.9
37,Turkey,2.9
15,Indonesia,2.8
104,Liberia,2.8
20,Peru,2.8
227,Anguilla,2.8
84,Laos,2.8
237,Macau,2.7
73,Philippines,2.7
47,Madagascar,2.7
232,Bermuda,2.6
90,Cambodia,2.6
188,Bahrain,2.6
166,Qatar,2.5
61,Zimbabwe,2.5
79,Guinea,2.5
11,"Congo, Democratic Republic of the",2.5
113,Azerbaijan,2.4
201,Antigua and Barbuda,2.4
21,Chad,2.3
95,Bangladesh,2.2
170,Lebanon,2.2
132,Dominican Republic,2.2
36,Pakistan,2.1
101,Eritrea,2.1
219,Liechtenstein,2.1
121,Georgia,2
122,Sri Lanka,1.7
250,Monaco,1.6
39,Zambia,1.3
45,Central African Republic,1.2
40,Burma,0.8
146,Equatorial Guinea,0.6
