id,country,electricity_renewables
189,Dominica,74.2
134,Denmark,36.9
63,Germany,36
52,Spain,25.8
98,Nicaragua,24.5
111,Portugal,24.1
108,Iceland,22.3
181,Mauritius,17.8
120,Ireland,17.4
152,Belize,16.9
56,Sweden,16.6
141,Belgium,16.3
72,Italy,15.8
153,El Salvador,15.7
135,Netherlands,14.3
76,New Zealand,14
49,Kenya,13.3
114,Austria,12.8
65,Finland,12.7
107,Guatemala,12.4
73,Philippines,12.3
130,Costa Rica,12.1
218,Aruba,11.3
164,Vanuatu,10.7
97,Greece,10.5
165,Falkland Islands (Islas Malvinas),10
80,United Kingdom,8.3
55,Papua New Guinea,8
5,Brazil,7.7
156,New Caledonia,7.6
4,China,7.6
7,India,7.5
110,Hungary,7
139,Taiwan,6.9
43,France,6.9
133,Estonia,6.4
179,Luxembourg,5.9
171,Cyprus,5.8
157,Fiji,5.7
103,Honduras,5.4
3,United States,5.3
6,Australia,5.1
123,Lithuania,5
105,Bulgaria,4.8
116,Czech Republic,4.6
58,Morocco,4.3
38,Chile,4.3
2,Canada,4.2
183,Faroe Islands,4.1
85,Guyana,3.7
70,Poland,3.7
14,Mexico,3.3
81,Uganda,3.2
176,Cabo Verde,3.1
15,Indonesia,3.1
37,Turkey,3.1
42,South Sudan,3
136,Switzerland,3
168,Jamaica,3
16,Sudan,3
62,Japan,2.8
131,Slovakia,2.6
214,Saint Pierre and Miquelon,2.3
127,Croatia,2.3
74,Ecuador,2
30,Egypt,2
68,Norway,1.9
124,Latvia,1.9
155,Slovenia,1.9
83,Romania,1.9
232,Bermuda,1.8
154,Israel,1.8
28,Bolivia,1.7
122,Sri Lanka,1.6
90,Cambodia,1.6
109,"Korea, South",1.5
93,Tunisia,1.5
207,Grenada,1.4
101,Eritrea,1.3
215,Cook Islands,1.1
91,Uruguay,0.8
95,Bangladesh,0.5
25,South Africa,0.5
26,Colombia,0.4
149,Rwanda,0.4
27,Ethiopia,0.4
88,Senegal,0.3
174,Trinidad and Tobago,0.3
208,Malta,0.3
51,Thailand,0.2
178,Samoa,0.2
192,Singapore,0.2
18,Iran,0.2
8,Argentina,0.2
132,Dominican Republic,0.2
112,Jordan,0.2
66,Vietnam,0.1
46,Ukraine,0.1
210,Maldives,0.1
19,Mongolia,0.1
106,Cuba,0.1
86,Belarus,0.1
113,Azerbaijan,0.1
143,Armenia,0.1
32,Nigeria,0
94,Nepal,0
240,Nauru,0
92,Suriname,0
60,Paraguay,0
20,Peru,0
36,Pakistan,0
118,Panama,0
138,Guinea-Bissau,0
166,Qatar,0
117,Serbia,0
163,Puerto Rico,0
1,Russia,0
13,Saudi Arabia,0
212,Saint Kitts and Nevis,0
199,Seychelles,0
209,"Saint Helena, Ascension, and Tristan da Cunha",0
119,Sierra Leone,0
44,Somalia,0
193,Saint Lucia,0
89,Syria,0
96,Tajikistan,0
186,Turks and Caicos Islands,0
190,Tonga,0
126,Togo,0
185,Sao Tome and Principe,0
53,Turkmenistan,0
31,Tanzania,0
75,Burkina Faso,0
57,Uzbekistan,0
204,Saint Vincent and the Grenadines,0
33,Venezuela,0
220,British Virgin Islands,0
182,Virgin Islands,0
34,Namibia,0
172,West Bank,0
78,Western Sahara,0
159,Swaziland,0
50,Yemen,0
39,Zambia,0
61,Zimbabwe,0
201,Antigua and Barbuda,0
115,United Arab Emirates,0
41,Afghanistan,0
10,Algeria,0
145,Albania,0
23,Angola,0
216,American Samoa,0
188,Bahrain,0
202,Barbados,0
48,Botswana,0
161,"Bahamas, The",0
129,Bosnia and Herzegovina,0
40,Burma,0
102,Benin,0
144,Solomon Islands,0
137,Bhutan,0
173,Brunei,0
147,Burundi,0
21,Chad,0
64,"Congo, Republic of the",0
11,"Congo, Democratic Republic of the",0
211,Cayman Islands,0
54,Cameroon,0
180,Comoros,0
45,Central African Republic,0
151,Djibouti,0
146,Equatorial Guinea,0
175,French Polynesia,0
167,"Gambia, The",0
77,Gabon,0
121,Georgia,0
82,Ghana,0
243,Gibraltar,0
12,Greenland,0
195,Guam,0
79,Guinea,0
148,Haiti,0
184,Hong Kong,0
69,Cote d'Ivoire,0
59,Iraq,0
87,Kyrgyzstan,0
99,"Korea, North",0
187,Kiribati,0
158,Kuwait,0
9,Kazakhstan,0
84,Laos,0
170,Lebanon,0
104,Liberia,0
142,Lesotho,0
17,Libya,0
47,Madagascar,0
237,Macau,0
140,Moldova,0
226,Montserrat,0
100,Malawi,0
162,Montenegro,0
150,Macedonia,0
24,Mali,0
29,Mauritania,0
71,Oman,0
67,Malaysia,0
35,Mozambique,0
213,Niue,0
22,Niger,0
