id,country,forex_gold_reserves
4,China,"$3,820,000,000,000 "
62,Japan,"$1,268,000,000,000 "
27,European Union,"$863,800,000,000 "
13,Saudi Arabia,"$739,500,000,000 "
136,Switzerland,"$531,100,000,000 "
1,Russia,"$515,600,000,000 "
139,Taiwan,"$414,500,000,000 "
5,Brazil,"$378,300,000,000 "
109,"Korea, South","$341,800,000,000 "
184,Hong Kong,"$309,000,000,000 "
7,India,"$277,000,000,000 "
192,Singapore,"$270,500,000,000 "
63,Germany,"$248,900,000,000 "
10,Algeria,"$192,500,000,000 "
43,France,"$184,500,000,000 "
72,Italy,"$181,700,000,000 "
51,Thailand,"$167,600,000,000 "
14,Mexico,"$167,100,000,000 "
3,United States,"$150,200,000,000 "
67,Malaysia,"$139,400,000,000 "
17,Libya,"$120,900,000,000 "
37,Turkey,"$117,600,000,000 "
70,Poland,"$107,800,000,000 "
80,United Kingdom,"$105,100,000,000 "
134,Denmark,"$89,500,000,000 "
73,Philippines,"$85,040,000,000 "
15,Indonesia,"$83,450,000,000 "
154,Israel,"$80,740,000,000 "
59,Iraq,"$71,240,000,000 "
2,Canada,"$68,550,000,000 "
18,Iran,"$68,060,000,000 "
20,Peru,"$65,150,000,000 "
115,United Arab Emirates,"$58,040,000,000 "
135,Netherlands,"$54,820,000,000 "
83,Romania,"$53,410,000,000 "
56,Sweden,"$52,230,000,000 "
170,Lebanon,"$51,950,000,000 "
68,Norway,"$51,860,000,000 "
52,Spain,"$50,590,000,000 "
6,Australia,"$48,800,000,000 "
25,South Africa,"$48,460,000,000 "
32,Nigeria,"$47,700,000,000 "
116,Czech Republic,"$44,310,000,000 "
26,Colombia,"$43,740,000,000 "
166,Qatar,"$40,090,000,000 "
38,Chile,"$39,890,000,000 "
110,Hungary,"$38,490,000,000 "
23,Angola,"$37,940,000,000 "
158,Kuwait,"$34,350,000,000 "
8,Argentina,"$33,650,000,000 "
66,Vietnam,"$32,490,000,000 "
141,Belgium,"$30,770,000,000 "
9,Kazakhstan,"$29,340,000,000 "
114,Austria,"$27,210,000,000 "
111,Portugal,"$22,660,000,000 "
53,Turkmenistan,"$22,350,000,000 "
46,Ukraine,"$21,950,000,000 "
33,Venezuela,"$21,150,000,000 "
105,Bulgaria,"$20,690,000,000 "
76,New Zealand,"$20,010,000,000 "
58,Morocco,"$19,160,000,000 "
71,Oman,"$17,700,000,000 "
30,Egypt,"$17,030,000,000 "
57,Uzbekistan,"$17,000,000,000 "
237,Macau,"$16,600,000,000 "
91,Uruguay,"$16,320,000,000 "
117,Serbia,"$15,870,000,000 "
95,Bangladesh,"$15,740,000,000 "
127,Croatia,"$15,660,000,000 "
28,Bolivia,"$14,460,000,000 "
113,Azerbaijan,"$13,080,000,000 "
112,Jordan,"$11,830,000,000 "
36,Pakistan,"$11,180,000,000 "
65,Finland,"$10,600,000,000 "
123,Lithuania,"$10,370,000,000 "
174,Trinidad and Tobago,"$10,070,000,000 "
40,Burma,"$8,278,000,000 "
93,Tunisia,"$8,113,000,000 "
48,Botswana,"$7,933,000,000 "
130,Costa Rica,"$7,406,000,000 "
97,Greece,"$7,255,000,000 "
124,Latvia,"$7,220,000,000 "
107,Guatemala,"$7,118,000,000 "
122,Sri Lanka,"$6,452,000,000 "
