id,country,gini
142,Lesotho,63.2
25,South Africa,63.1
48,Botswana,63
119,Sierra Leone,62.9
45,Central African Republic,61.3
34,Namibia,59.7
148,Haiti,59.2
103,Honduras,57.7
26,Colombia,55.9
107,Guatemala,55.1
184,Hong Kong,53.7
51,Thailand,53.6
60,Paraguay,53.2
28,Bolivia,53
38,Chile,52.1
118,Panama,51.9
5,Brazil,51.9
55,Papua New Guinea,50.9
39,Zambia,50.8
159,Swaziland,50.4
130,Costa Rica,50.3
167,"Gambia, The",50.2
61,Zimbabwe,50.1
122,Sri Lanka,49
14,Mexico,48.3
20,Peru,48.1
192,Singapore,47.8
74,Ecuador,47.7
47,Madagascar,47.5
4,China,47.4
132,Dominican Republic,47.2
153,El Salvador,46.9
149,Rwanda,46.8
67,Malaysia,46.2
121,Georgia,46
8,Argentina,45.8
35,Mozambique,45.6
168,Jamaica,45.5
105,Bulgaria,45.3
91,Uruguay,45.3
3,United States,45
73,Philippines,44.8
54,Cameroon,44.6
85,Guyana,44.6
18,Iran,44.5
81,Uganda,44.3
32,Nigeria,43.7
150,Macedonia,43.2
49,Kenya,42.5
147,Burundi,42.4
1,Russia,42
69,Cote d'Ivoire,41.5
88,Senegal,41.3
151,Djibouti,40.9
58,Morocco,40.9
53,Turkmenistan,40.8
98,Nicaragua,40.5
37,Turkey,40.2
24,Mali,40.1
93,Tunisia,40
80,United Kingdom,40
112,Jordan,39.7
75,Burkina Faso,39.5
79,Guinea,39.4
82,Ghana,39.4
29,Mauritania,39
181,Mauritius,39
33,Venezuela,39
100,Malawi,39
111,Portugal,38.5
140,Moldova,38
90,Cambodia,37.9
50,Yemen,37.7
66,Vietnam,37.6
31,Tanzania,37.6
154,Israel,37.6
62,Japan,37.6
7,India,36.8
57,Uzbekistan,36.8
15,Indonesia,36.8
84,Laos,36.7
19,Mongolia,36.5
102,Benin,36.5
76,New Zealand,36.2
129,Bosnia and Herzegovina,36.2
123,Lithuania,35.5
10,Algeria,35.3
124,Latvia,35.2
145,Albania,34.5
97,Greece,34.3
139,Taiwan,34.2
70,Poland,34.1
22,Niger,34
120,Ireland,33.9
113,Azerbaijan,33.7
87,Kyrgyzstan,33.4
83,Romania,33.2
95,Bangladesh,33.2
27,Ethiopia,33
94,Nepal,32.8
43,France,32.7
96,Tajikistan,32.6
2,Canada,32.1
52,Spain,32
127,Croatia,32
160,Timor-Leste,31.9
72,Italy,31.9
133,Estonia,31.3
109,"Korea, South",31.1
116,Czech Republic,31
171,Cyprus,31
135,Netherlands,30.9
143,Armenia,30.9
30,Egypt,30.8
27,European Union,30.6
36,Pakistan,30.6
6,Australia,30.3
169,Kosovo,30
136,Switzerland,29.6
9,Kazakhstan,28.9
46,Ukraine,28.2
117,Serbia,28.2
141,Belgium,28
108,Iceland,28
208,Malta,27.4
86,Belarus,27.2
63,Germany,27
65,Finland,26.8
114,Austria,26.3
131,Slovakia,26
179,Luxembourg,26
68,Norway,25
134,Denmark,24.8
110,Hungary,24.7
162,Montenegro,24.3
155,Slovenia,23.8
56,Sweden,23
