id,country,military_expenditures_%ofGDP
42,South Sudan,10.32
71,Oman,8.61
13,Saudi Arabia,7.98
154,Israel,5.69
112,Jordan,4.65
113,Azerbaijan,4.64
10,Algeria,4.48
1,Russia,4.47
3,United States,4.35
170,Lebanon,4.04
50,Yemen,4.02
143,Armenia,3.92
23,Angola,3.63
58,Morocco,3.55
192,Singapore,3.52
26,Colombia,3.28
159,Swaziland,3.17
188,Bahrain,3.14
34,Namibia,3.11
36,Pakistan,3.04
61,Zimbabwe,2.94
160,Timor-Leste,2.92
121,Georgia,2.88
59,Iraq,2.88
74,Ecuador,2.83
109,"Korea, South",2.8
46,Ukraine,2.77
97,Greece,2.63
80,United Kingdom,2.49
122,Sri Lanka,2.43
173,Brunei,2.43
7,India,2.43
147,Burundi,2.39
66,Vietnam,2.37
48,Botswana,2.31
37,Turkey,2.31
43,France,2.26
117,Serbia,2.21
171,Cyprus,2.05
38,Chile,2.04
4,China,1.99
49,Kenya,1.96
91,Uruguay,1.95
142,Lesotho,1.94
133,Estonia,1.92
70,Poland,1.91
162,Montenegro,1.87
138,Guinea-Bissau,1.85
111,Portugal,1.78
30,Egypt,1.72
11,"Congo, Democratic Republic of the",1.72
6,Australia,1.71
127,Croatia,1.7
72,Italy,1.69
60,Paraguay,1.66
27,European Union,1.65
69,Cote d'Ivoire,1.65
67,Malaysia,1.55
39,Zambia,1.55
93,Tunisia,1.55
90,Cambodia,1.54
51,Thailand,1.47
28,Bolivia,1.47
5,Brazil,1.47
145,Albania,1.47
157,Fiji,1.47
65,Finland,1.47
105,Bulgaria,1.46
81,Uganda,1.45
24,Mali,1.44
54,Cameroon,1.42
134,Denmark,1.41
68,Norway,1.4
75,Burkina Faso,1.39
150,Macedonia,1.38
63,Germany,1.35
129,Bosnia and Herzegovina,1.35
95,Bangladesh,1.35
77,Gabon,1.34
83,Romania,1.29
20,Peru,1.28
135,Netherlands,1.27
2,Canada,1.24
9,Kazakhstan,1.21
86,Belarus,1.2
73,Philippines,1.19
56,Sweden,1.18
155,Slovenia,1.18
25,South Africa,1.16
31,Tanzania,1.13
76,New Zealand,1.13
116,Czech Republic,1.13
19,Mongolia,1.12
131,Slovakia,1.12
149,Rwanda,1.12
85,Guyana,1.09
22,Niger,1.06
141,Belgium,1.05
33,Venezuela,1.05
103,Honduras,1.05
102,Benin,1.03
153,El Salvador,0.99
62,Japan,0.99
123,Lithuania,0.97
100,Malawi,0.93
124,Latvia,0.92
27,Ethiopia,0.91
8,Argentina,0.91
32,Nigeria,0.89
199,Seychelles,0.89
52,Spain,0.86
168,Jamaica,0.86
110,Hungary,0.83
104,Liberia,0.82
114,Austria,0.81
15,Indonesia,0.78
136,Switzerland,0.76
119,Sierra Leone,0.72
47,Madagascar,0.69
98,Nicaragua,0.63
132,Dominican Republic,0.61
208,Malta,0.61
179,Luxembourg,0.6
14,Mexico,0.59
120,Ireland,0.55
55,Papua New Guinea,0.54
107,Guatemala,0.42
140,Moldova,0.3
82,Ghana,0.27
181,Mauritius,0.19
108,Iceland,0.13
158,Kuwait,0
