id,country,petrol_cons
3,United States,"18,840,000"
2,European Union,"12,800,000"
3,China,"9,790,000"
4,Japan,"4,464,000"
5,India,"3,292,000"
6,Russia,"3,196,000"
7,Saudi Arabia,"2,817,000"
8,Brazil,"2,594,000"
9,Germany,"2,400,000"
10,"Korea, South","2,301,000"
11,Canada,"2,259,000"
12,Mexico,"2,133,000"
13,France,"1,792,000"
14,Iran,"1,709,000"
15,United Kingdom,"1,608,000"
16,Italy,"1,454,000"
17,Spain,"1,384,000"
18,Indonesia,"1,322,000"
19,Singapore,"1,250,000"
20,Australia,"1,023,000"
21,Netherlands,"1,010,000"
22,Iraq,"818,000"
23,Egypt,"816,300"
24,Taiwan,"786,100"
25,Thailand,"721,100"
26,Turkey,"706,100"
27,Argentina,"678,100"
28,Belgium,"644,400"
29,South Africa,"590,900"
30,Poland,"576,600"
31,United Arab Emirates,"572,100"
32,Venezuela,"571,000"
33,Malaysia,"542,900"
34,Pakistan,"426,700"
35,Greece,"343,400"
36,Kuwait,"339,000"
37,Hong Kong,"337,600"
38,Chile,"321,700"
39,Ukraine,"320,600"
40,Algeria,"316,400"
41,Sweden,"316,000"
42,Philippines,"315,600"
43,Libya,"314,000"
44,Colombia,"287,000"
45,Ecuador,"280,000"
46,Nigeria,"271,600"
47,Vietnam,"259,900"
48,Portugal,"259,700"
89,Syria,"258,800"
136,Switzerland,"258,200"
68,Norway,"255,200"
9,Kazakhstan,"244,200"
154,Israel,"238,400"
83,Romania,"218,200"
114,Austria,"210,700"
20,Peru,"206,900"
65,Finland,"204,800"
58,Morocco,"203,600"
116,Czech Republic,"199,000"
166,Qatar,"189,700"
86,Belarus,"188,800"
50,Yemen,"177,000"
113,Azerbaijan,"168,000"
134,Denmark,"160,200"
163,Puerto Rico,"151,600"
106,Cuba,"150,200"
76,New Zealand,"148,900"
53,Turkmenistan,"145,000"
120,Ireland,"144,000"
110,Hungary,"141,100"
57,Uzbekistan,"137,100"
132,Dominican Republic,"122,300"
105,Bulgaria,"112,700"
95,Bangladesh,"108,900"
112,Jordan,"107,000"
170,Lebanon,"106,700"
182,Virgin Islands,"106,100"
118,Panama,"98,890"
71,Oman,"98,000"
16,Sudan,"95,450"
122,Sri Lanka,"89,620"
93,Tunisia,"88,380"
131,Slovakia,"83,910"
117,Serbia,"81,440"
107,Guatemala,"80,810"
23,Angola,"79,430"
49,Kenya,"79,410"
168,Jamaica,"78,520"
127,Croatia,"74,410"
200,Curacao,"72,000"
123,Lithuania,"70,390"
82,Ghana,"61,590"
179,Luxembourg,"61,380"
171,Cyprus,"58,430"
103,Honduras,"58,150"
155,Slovenia,"52,930"
188,Bahrain,"51,450"
91,Uruguay,"51,100"
130,Costa Rica,"50,200"
27,Ethiopia,"49,080"
28,Bolivia,"45,840"
96,Tajikistan,"45,810"
143,Armenia,"45,300"
153,El Salvador,"44,040"
31,Tanzania,"43,310"
174,Trinidad and Tobago,"41,000"
40,Burma,"40,620"
88,Senegal,"40,600"
90,Cambodia,"39,350"
145,Albania,"38,390"
55,Papua New Guinea,"36,320"
161,"Bahamas, The","36,300"
124,Latvia,"31,340"
98,Nicaragua,"30,690"
54,Cameroon,"29,410"
172,West Bank,"29,310"
102,Benin,"29,170"
126,Togo,"28,670"
129,Bosnia and Herzegovina,"27,540"
60,Paraguay,"26,820"
133,Estonia,"26,340"
243,Gibraltar,"24,920"
181,Mauritius,"24,710"
69,Cote d'Ivoire,"24,630"
34,Namibia,"22,990"
19,Mongolia,"21,610"
108,Iceland,"20,770"
35,Mozambique,"19,580"
208,Malta,"19,520"
39,Zambia,"19,260"
61,Zimbabwe,"19,030"
94,Nepal,"18,430"
29,Mauritania,"18,120"
140,Moldova,"18,060"
157,Fiji,"17,810"
150,Macedonia,"17,490"
47,Madagascar,"17,480"
121,Georgia,"17,280"
81,Uganda,"16,930"
87,Kyrgyzstan,"16,640"
77,Gabon,"15,800"
48,Botswana,"15,420"
99,"Korea, North","15,000"
173,Brunei,"14,640"
195,Guam,"14,490"
92,Suriname,"14,100"
148,Haiti,"14,000"
156,New Caledonia,"13,640"
151,Djibouti,"12,460"
100,Malawi,"12,060"
85,Guyana,"10,910"
64,"Congo, Republic of the","10,710"
11,"Congo, Democratic Republic of the","10,240"
75,Burkina Faso,"9,960"
119,Sierra Leone,"8,768"
79,Guinea,"8,671"
202,Barbados,"8,339"
175,French Polynesia,"8,000"
199,Seychelles,"7,793"
237,Macau,"7,522"
152,Belize,"7,044"
210,Maldives,"6,875"
218,Aruba,"5,661"
44,Somalia,"5,659"
22,Niger,"5,629"
149,Rwanda,"5,245"
216,American Samoa,"5,115"
201,Antigua and Barbuda,"5,000"
24,Mali,"4,994"
183,Faroe Islands,"4,871"
159,Swaziland,"4,567"
101,Eritrea,"4,480"
162,Montenegro,"4,446"
41,Afghanistan,"4,229"
12,Greenland,"3,897"
104,Liberia,"3,533"
84,Laos,"3,391"
167,"Gambia, The","3,181"
45,Central African Republic,"3,175"
211,Cayman Islands,"3,141"
138,Guinea-Bissau,"2,922"
193,Saint Lucia,"2,922"
207,Grenada,"2,803"
160,Timor-Leste,"2,755"
232,Bermuda,"2,747"
176,Cabo Verde,"2,608"
147,Burundi,"2,290"
78,Western Sahara,"1,948"
204,Saint Vincent and the Grenadines,"1,948"
21,Chad,"1,817"
142,Lesotho,"1,777"
144,Solomon Islands,"1,728"
137,Bhutan,"1,719"
146,Equatorial Guinea,"1,588"
212,Saint Kitts and Nevis,"1,496"
190,Tonga,"1,221"
164,Vanuatu,"1,170"
178,Samoa,"1,070"
180,Comoros,"1,025"
240,Nauru,"1,000"
226,Montserrat,"1,000"
220,British Virgin Islands,"1,000"
186,Turks and Caicos Islands,999
215,Cook Islands,974
214,Saint Pierre and Miquelon,974
189,Dominica,918
185,Sao Tome and Principe,904
165,Falkland Islands (Islas Malvinas),300
187,Kiribati,300
209,"Saint Helena, Ascension, and Tristan da Cunha",100
