id,country,railways
3,United States,"224,792"
1,Russia,"87,157"
4,China,"86,000"
7,India,"63,974"
2,Canada,"46,552"
63,Germany,"41,981"
6,Australia,"38,445"
8,Argentina,"36,966"
43,France,"29,640"
5,Brazil,"28,538"
62,Japan,"27,182"
46,Ukraine,"21,619"
72,Italy,"20,255"
25,South Africa,"20,192"
70,Poland,"19,428"
14,Mexico,"17,166"
80,United Kingdom,"16,454"
9,Kazakhstan,"15,333"
52,Spain,"15,293"
37,Turkey,"12,008"
56,Sweden,"11,633"
83,Romania,"10,777"
116,Czech Republic,"9,469"
18,Iran,"8,442"
106,Cuba,"8,203"
110,Hungary,"8,057"
36,Pakistan,"7,791"
38,Chile,"7,082"
114,Austria,"6,399"
16,Sudan,"5,978"
65,Finland,"5,944"
86,Belarus,"5,537"
99,"Korea, North","5,242"
30,Egypt,"5,083"
15,Indonesia,"5,042"
40,Burma,"5,031"
136,Switzerland,"4,876"
35,Mozambique,"4,787"
68,Norway,"4,237"
105,Bulgaria,"4,152"
76,New Zealand,"4,128"
51,Thailand,"4,071"
11,"Congo, Democratic Republic of the","4,007"
10,Algeria,"3,973"
117,Serbia,"3,809"
31,Tanzania,"3,689"
28,Bolivia,"3,652"
57,Uzbekistan,"3,645"
131,Slovakia,"3,622"
32,Nigeria,"3,505"
61,Zimbabwe,"3,427"
109,"Korea, South","3,381"
111,Portugal,"3,319"
120,Ireland,"3,237"
141,Belgium,"3,233"
135,Netherlands,"3,013"
53,Turkmenistan,"2,980"
113,Azerbaijan,"2,918"
23,Angola,"2,764"
127,Croatia,"2,722"
134,Denmark,"2,667"
66,Vietnam,"2,632"
34,Namibia,"2,626"
95,Bangladesh,"2,622"
97,Greece,"2,548"
59,Iraq,"2,370"
124,Latvia,"2,239"
93,Tunisia,"2,165"
39,Zambia,"2,157"
58,Morocco,"2,067"
49,Kenya,"2,066"
89,Syria,"2,052"
19,Mongolia,"1,908"
20,Peru,"1,907"
67,Malaysia,"1,849"
123,Lithuania,"1,767"
91,Uruguay,"1,641"
121,Georgia,"1,612"
139,Taiwan,"1,580"
122,Sri Lanka,"1,449"
13,Saudi Arabia,"1,378"
54,Cameroon,"1,245"
81,Uganda,"1,244"
155,Slovenia,"1,228"
133,Estonia,"1,196"
140,Moldova,"1,190"
79,Guinea,"1,185"
73,Philippines,995
154,Israel,975
74,Ecuador,965
82,Ghana,947
88,Senegal,906
48,Botswana,888
64,"Congo, Republic of the",886
26,Colombia,874
143,Armenia,869
47,Madagascar,854
33,Venezuela,806
100,Malawi,797
150,Macedonia,699
90,Cambodia,690
27,Ethiopia,681
96,Tajikistan,680
69,Cote d'Ivoire,660
77,Gabon,649
75,Burkina Faso,622
129,Bosnia and Herzegovina,601
157,Fiji,597
24,Mali,593
126,Togo,568
112,Jordan,507
87,Kyrgyzstan,470
102,Benin,438
169,Kosovo,430
104,Liberia,429
170,Lebanon,401
145,Albania,339
107,Guatemala,332
101,Eritrea,306
159,Swaziland,301
153,El Salvador,283
130,Costa Rica,278
179,Luxembourg,275
162,Montenegro,250
132,Dominican Republic,142
151,Djibouti,100
118,Panama,76
194,Isle of Man,63
94,Nepal,59
212,Saint Kitts and Nevis,50
103,Honduras,44
60,Paraguay,36
222,Christmas Island,18
219,Liechtenstein,9
