id,country,roadways
3,United States,"6,586,610"
7,India,"4,689,842"
4,China,"4,106,387"
5,Brazil,"1,580,964"
1,Russia,"1,283,387"
62,Japan,"1,210,251"
2,Canada,"1,042,300"
43,France,"1,028,446"
6,Australia,"823,217"
52,Spain,"683,175"
63,Germany,"645,000"
56,Sweden,"579,564"
15,Indonesia,"496,607"
72,Italy,"487,700"
70,Poland,"412,035"
80,United Kingdom,"394,428"
37,Turkey,"385,748"
14,Mexico,"377,660"
25,South Africa,"364,131"
36,Pakistan,"262,256"
8,Argentina,"231,374"
13,Saudi Arabia,"221,372"
73,Philippines,"213,151"
66,Vietnam,"206,633"
110,Hungary,"199,567"
18,Iran,"198,866"
32,Nigeria,"193,200"
51,Thailand,"180,053"
46,Ukraine,"169,694"
49,Kenya,"160,878"
141,Belgium,"154,012"
11,"Congo, Democratic Republic of the","153,497"
67,Malaysia,"144,403"
26,Colombia,"141,374"
20,Peru,"140,672"
135,Netherlands,"139,295"
30,Egypt,"137,430"
116,Czech Republic,"130,671"
114,Austria,"124,508"
97,Greece,"116,960"
122,Sri Lanka,"114,093"
10,Algeria,"113,655"
82,Ghana,"109,515"
109,"Korea, South","104,983"
17,Libya,"100,024"
9,Kazakhstan,"97,418"
61,Zimbabwe,"97,267"
33,Venezuela,"96,155"
120,Ireland,"96,036"
76,New Zealand,"94,160"
68,Norway,"93,870"
39,Zambia,"91,440"
57,Uzbekistan,"86,496"
31,Tanzania,"86,472"
86,Belarus,"86,392"
83,Romania,"84,185"
123,Lithuania,"84,166"
111,Portugal,"82,900"
69,Cote d'Ivoire,"81,996"
28,Bolivia,"80,488"
65,Finland,"78,000"
38,Chile,"77,764"
91,Uruguay,"77,732"
134,Denmark,"73,929"
124,Latvia,"72,440"
136,Switzerland,"71,464"
50,Yemen,"71,300"
89,Syria,"69,873"
106,Cuba,"60,858"
71,Oman,"60,240"
59,Iraq,"59,623"
53,Turkmenistan,"58,592"
133,Estonia,"58,412"
58,Morocco,"58,395"
113,Azerbaijan,"52,942"
23,Angola,"51,429"
54,Cameroon,"51,350"
19,Mongolia,"49,249"
27,Ethiopia,"44,359"
79,Guinea,"44,348"
117,Serbia,"44,248"
34,Namibia,"44,138"
131,Slovakia,"43,916"
74,Ecuador,"43,670"
41,Afghanistan,"42,150"
139,Taiwan,"41,475"
21,Chad,"40,000"
90,Cambodia,"39,618"
84,Laos,"39,568"
130,Costa Rica,"39,018"
155,Slovenia,"38,985"
47,Madagascar,"34,476"
40,Burma,"34,377"
87,Kyrgyzstan,"34,000"
60,Paraguay,"32,059"
35,Mozambique,"30,331"
127,Croatia,"29,410"
96,Tajikistan,"27,767"
163,Puerto Rico,"26,862"
99,"Korea, North","25,554"
129,Bosnia and Herzegovina,"22,926"
24,Mali,"22,474"
168,Jamaica,"22,121"
98,Nicaragua,"22,111"
44,Somalia,"22,100"
95,Bangladesh,"21,269"
45,Central African Republic,"20,278"
171,Cyprus,"20,006"
81,Uganda,"20,000"
132,Dominican Republic,"19,705"
105,Bulgaria,"19,512"
93,Tunisia,"19,418"
121,Georgia,"19,109"
22,Niger,"18,949"
154,Israel,"18,566"
145,Albania,"18,000"
48,Botswana,"17,916"
64,"Congo, Republic of the","17,289"
102,Benin,"16,000"
100,Malawi,"15,450"
75,Burkina Faso,"15,272"
118,Panama,"15,137"
