id,country,youth_unemployment
129,Bosnia and Herzegovina,62.8
169,Kosovo,55.3
97,Greece,55.3
150,Macedonia,53.9
52,Spain,53.2
25,South Africa,51.5
117,Serbia,51.1
85,Guyana,46.1
127,Croatia,43.1
93,Tunisia,42.3
162,Montenegro,41.1
193,Saint Lucia,40.8
34,Namibia,40.1
143,Armenia,39.2
172,West Bank,38.8
206,Gaza Strip,38.8
111,Portugal,37.6
72,Italy,35.3
142,Lesotho,34.4
168,Jamaica,34
131,Slovakia,34
50,Yemen,33.7
121,Georgia,33.3
175,French Polynesia,33.2
161,"Bahamas, The",30.8
132,Dominican Republic,29.4
195,Guam,29.4
112,Jordan,29.3
124,Latvia,28.4
10,Algeria,28.4
13,Saudi Arabia,28.3
105,Bulgaria,28.1
110,Hungary,28.1
171,Cyprus,27.8
163,Puerto Rico,26.6
70,Poland,26.5
123,Lithuania,26.4
202,Barbados,26.2
189,Dominica,26
27,Ethiopia,24.9
30,Egypt,24.8
120,Ireland,24
43,France,23.8
181,Mauritius,23.7
56,Sweden,23.7
39,Zambia,23.4
218,Aruba,23.2
18,Iran,23
83,Romania,22.7
145,Albania,22.5
210,Maldives,22.2
15,Indonesia,22.2
26,Colombia,21.9
92,Suriname,21.5
80,United Kingdom,21
133,Estonia,20.9
155,Slovenia,20.6
199,Seychelles,20.3
201,Antigua and Barbuda,19.9
141,Belgium,19.8
152,Belize,19.5
116,Czech Republic,19.5
89,Syria,19.2
179,Luxembourg,18.8
58,Morocco,18.6
91,Uruguay,18.5
130,Costa Rica,18.4
8,Argentina,18.3
76,New Zealand,17.7
65,Finland,17.7
37,Turkey,17.5
46,Ukraine,17.3
3,United States,17.3
122,Sri Lanka,17.3
33,Venezuela,17.1
170,Lebanon,16.8
96,Tajikistan,16.7
82,Ghana,16.6
73,Philippines,16.3
38,Chile,16.3
178,Samoa,16.1
5,Brazil,15.4
88,Senegal,14.8
1,Russia,14.8
160,Timor-Leste,14.8
87,Kyrgyzstan,14.6
118,Panama,14.6
2,Canada,14.3
134,Denmark,14.2
113,Azerbaijan,14.2
208,Malta,14.2
48,Botswana,13.6
108,Iceland,13.6
211,Cayman Islands,13.5
140,Moldova,13.1
86,Belarus,12.6
153,El Salvador,12.4
154,Israel,12.1
115,United Arab Emirates,12.1
19,Mongolia,11.9
190,Tonga,11.9
6,Australia,11.7
158,Kuwait,11.3
60,Paraguay,11.2
74,Ecuador,11.1
232,Bermuda,10.8
7,India,10.7
174,Trinidad and Tobago,10.5
67,Malaysia,10.3
135,Netherlands,9.5
20,Peru,9.5
183,Faroe Islands,9.4
14,Mexico,9.4
95,Bangladesh,9.3
184,Hong Kong,9.3
109,"Korea, South",9
68,Norway,8.6
98,Nicaragua,8.6
136,Switzerland,8.4
114,Austria,8.3
63,Germany,8.1
103,Honduras,8
62,Japan,7.9
36,Pakistan,7.7
61,Zimbabwe,7.6
107,Guatemala,7.5
137,Bhutan,7.2
194,Isle of Man,7.2
31,Tanzania,7.1
250,Monaco,6.9
192,Singapore,6.7
28,Bolivia,6.2
197,Northern Mariana Islands,5.9
237,Macau,5.8
66,Vietnam,5.5
81,Uganda,5.4
104,Liberia,5.1
188,Bahrain,5
9,Kazakhstan,3.9
75,Burkina Faso,3.8
90,Cambodia,3.4
22,Niger,3.2
106,Cuba,3.1
51,Thailand,2.8
47,Madagascar,2.3
166,Qatar,1.3
102,Benin,0.8
